File Name,Original Size (bytes),Compressed Size (bytes)
dailymail_1612.txt,4946,2294
dailymail_1614.txt,4424,2087
dailymail_1616.txt,4353,2083
dailymail_1618.txt,5348,2510
dailymail_162.txt,2352,1133
dailymail_1620.txt,5141,2425
dailymail_1624.txt,2501,1383
dailymail_1626.txt,6973,3427
dailymail_1628.txt,4705,2164
dailymail_1630.txt,6157,2903
dailymail_1632.txt,6157,2903
dailymail_1634.txt,13874,5670
dailymail_1636.txt,3609,1746
dailymail_1638.txt,9102,4072
dailymail_164.txt,2444,1216
dailymail_1640.txt,9102,4072
dailymail_1642.txt,3702,1894
dailymail_1644.txt,5647,2653
dailymail_1646.txt,6897,3173
dailymail_1648.txt,4899,2411
dailymail_1650.txt,4899,2411
dailymail_1652.txt,6403,2774
dailymail_1654.txt,5674,2705
dailymail_1656.txt,5674,2705
dailymail_1658.txt,2907,1518
dailymail_166.txt,7458,2898
dailymail_1660.txt,1885,971
dailymail_1662.txt,1885,971
dailymail_1664.txt,4264,2003
dailymail_1666.txt,3312,1610
dailymail_1668.txt,3312,1610
dailymail_1670.txt,5464,2613
dailymail_1672.txt,3004,1341
dailymail_1674.txt,1704,865
dailymail_1676.txt,1968,1140
dailymail_1678.txt,6745,3291
dailymail_168.txt,3012,1462
dailymail_1680.txt,6745,3291
dailymail_1682.txt,534,338
dailymail_1684.txt,2205,1151
dailymail_1686.txt,7323,3492
dailymail_1688.txt,4306,2105
dailymail_1690.txt,4306,2105
dailymail_1692.txt,4675,2334
dailymail_1694.txt,6521,3069
dailymail_1696.txt,933,561
dailymail_1698.txt,2043,1146
dailymail_170.txt,3962,1885
dailymail_1700.txt,2398,1250
dailymail_1702.txt,2398,1250
dailymail_1704.txt,5982,2908
dailymail_1706.txt,1175,716
dailymail_1708.txt,10133,4497
dailymail_1710.txt,4886,2420
dailymail_1712.txt,6633,3271
dailymail_1714.txt,12120,5172
dailymail_1716.txt,2932,1593
dailymail_1718.txt,6039,2758
dailymail_172.txt,1964,997
dailymail_1720.txt,11119,4930
dailymail_1722.txt,5001,2478
dailymail_1726.txt,7342,3295
dailymail_1728.txt,7738,3570
dailymail_1730.txt,5633,2404
dailymail_1732.txt,9461,4199
dailymail_1734.txt,6948,2786
dailymail_1736.txt,4281,1943
dailymail_1738.txt,5660,2564
dailymail_174.txt,4524,1865
dailymail_1740.txt,6783,3174
dailymail_1742.txt,4016,1944
dailymail_1744.txt,10098,4363
dailymail_1748.txt,5535,2777
dailymail_1750.txt,5694,2506
dailymail_1752.txt,5903,2733
dailymail_1754.txt,8203,3749
dailymail_1756.txt,7335,3733
dailymail_1758.txt,7335,3733
dailymail_176.txt,2176,1199
dailymail_1760.txt,11871,5050
dailymail_1762.txt,9348,3844
dailymail_1764.txt,8404,3694
dailymail_1766.txt,2299,1320
dailymail_1768.txt,20151,7878
dailymail_1770.txt,1881,1008
dailymail_1772.txt,2673,1260
dailymail_1774.txt,6005,2917
dailymail_1776.txt,6509,2623
dailymail_1778.txt,7626,3568
dailymail_178.txt,5411,2503
dailymail_1780.txt,7156,3522
dailymail_1782.txt,7644,3638
dailymail_1784.txt,7644,3638
dailymail_1786.txt,6305,3185
dailymail_1788.txt,3237,1579
dailymail_1790.txt,8227,3958
dailymail_1792.txt,8227,3958
dailymail_1794.txt,4574,2122
dailymail_1796.txt,3901,1902
dailymail_1798.txt,4044,2070
dailymail_18.txt,3118,1472
dailymail_180.txt,2919,1401
dailymail_1802.txt,4452,2062
dailymail_1804.txt,5742,2825
dailymail_1806.txt,5742,2825
dailymail_1810.txt,8695,4199
dailymail_1812.txt,7037,3301
dailymail_1814.txt,23565,9528
dailymail_1816.txt,5219,2708
dailymail_1818.txt,14460,6422
dailymail_182.txt,2941,1431
dailymail_1820.txt,14460,6422
dailymail_1822.txt,9456,3997
dailymail_1824.txt,7645,3453
dailymail_1826.txt,5359,2607
dailymail_1828.txt,9225,3750
dailymail_1830.txt,4044,2175
dailymail_1832.txt,8817,3862
dailymail_1834.txt,10172,4547
dailymail_1836.txt,10172,4547
dailymail_1838.txt,5518,2654
dailymail_184.txt,2435,1183
dailymail_1840.txt,5799,2593
dailymail_1842.txt,8164,3583
dailymail_1844.txt,8164,3583
dailymail_1846.txt,5108,2332
dailymail_1848.txt,5108,2332
dailymail_1850.txt,6419,2700
dailymail_1852.txt,4929,2515
dailymail_1856.txt,4532,1959
dailymail_1858.txt,8342,3636
dailymail_186.txt,3518,1606
dailymail_1860.txt,7919,3666
dailymail_1862.txt,13138,5947
dailymail_1864.txt,7605,3801
dailymail_1866.txt,6779,3230
dailymail_1868.txt,7989,3528
dailymail_1870.txt,1641,868
dailymail_1872.txt,4368,2088
dailymail_1874.txt,3986,1951
dailymail_1878.txt,11117,4986
dailymail_188.txt,3061,1596
dailymail_1880.txt,2191,1127
dailymail_1882.txt,4863,2188
dailymail_1884.txt,3264,1664
dailymail_1886.txt,6339,2810
dailymail_1888.txt,2628,1332
dailymail_1890.txt,4898,2389
dailymail_1892.txt,5697,2876
dailymail_1894.txt,12441,5444
dailymail_1896.txt,2627,1370
dailymail_1898.txt,4358,2115
dailymail_190.txt,2758,1407
dailymail_1900.txt,4814,2216
dailymail_1902.txt,4814,2216
dailymail_1904.txt,5476,2589
dailymail_1906.txt,2531,1260
dailymail_1908.txt,3359,1655
dailymail_1910.txt,5258,2502
dailymail_1912.txt,6726,3104
dailymail_1914.txt,1952,1006
dailymail_1916.txt,3174,1535
dailymail_1918.txt,6160,2803
dailymail_192.txt,2715,1179
dailymail_1920.txt,2638,1219
dailymail_1922.txt,6475,2931
dailymail_1924.txt,5002,2454
dailymail_1926.txt,2969,1434
dailymail_1928.txt,4728,2102
dailymail_1930.txt,4283,2085
dailymail_1932.txt,4432,2014
dailymail_1934.txt,3921,1763
dailymail_1936.txt,4545,2133
dailymail_1938.txt,7292,3151
dailymail_194.txt,3014,1372
dailymail_1942.txt,1838,949
dailymail_1944.txt,4053,1996
dailymail_1946.txt,510,365
dailymail_1948.txt,5418,2584
dailymail_1950.txt,5999,2898
dailymail_1952.txt,8649,4206
dailymail_1954.txt,4243,2077
dailymail_1956.txt,2319,1252
dailymail_196.txt,2424,1188
dailymail_1960.txt,6211,3170
dailymail_1962.txt,561,390
dailymail_1964.txt,1776,908
dailymail_1966.txt,3319,1695
dailymail_1968.txt,6327,3210
dailymail_1970.txt,10658,5035
dailymail_1972.txt,811,522
dailymail_1974.txt,651,424
dailymail_1978.txt,6014,2609
dailymail_198.txt,3393,1709
dailymail_1980.txt,6419,2661
dailymail_1982.txt,6419,2661
dailymail_1984.txt,5492,2064
dailymail_1986.txt,10237,4169
dailymail_1988.txt,4612,2092
dailymail_1990.txt,2313,1186
dailymail_1992.txt,5122,2024
dailymail_1994.txt,3276,1311
dailymail_1996.txt,6084,2669
dailymail_1998.txt,3018,1516
dailymail_2.txt,6252,2676
dailymail_20.txt,2503,1270
dailymail_200.txt,2499,1196
dailymail_2000.txt,3278,1430
dailymail_2002.txt,30373,11647
dailymail_2004.txt,4922,2272
dailymail_2006.txt,6151,2748
dailymail_2008.txt,8559,3354
dailymail_2010.txt,4282,1901
dailymail_2012.txt,27494,9769
dailymail_2014.txt,27494,9769
dailymail_2016.txt,2892,1405
dailymail_2018.txt,2892,1405
dailymail_202.txt,6884,3178
dailymail_2020.txt,6837,2654
dailymail_2022.txt,4243,2114
dailymail_2024.txt,7998,3238
dailymail_2026.txt,4705,1946
dailymail_2028.txt,2424,1165
dailymail_2030.txt,5474,2656
dailymail_2032.txt,13002,5481
dailymail_2034.txt,9337,3805
dailymail_2036.txt,8706,3690
dailymail_2038.txt,6098,2957
dailymail_204.txt,2986,1433
dailymail_2040.txt,5759,2420
dailymail_2042.txt,3588,1728
dailymail_2044.txt,3588,1728
dailymail_2046.txt,7292,3282
dailymail_2048.txt,6574,3094
dailymail_2050.txt,5550,2432
dailymail_2052.txt,11950,5132
dailymail_2054.txt,11950,5132
dailymail_2056.txt,10382,4398
dailymail_2058.txt,6951,3242
dailymail_206.txt,3415,1608
dailymail_2060.txt,6819,3414
dailymail_2062.txt,3247,1361
dailymail_2064.txt,6934,3028
dailymail_2066.txt,6934,3028
dailymail_2068.txt,2628,1309
dailymail_2070.txt,7008,2789
dailymail_2072.txt,2592,1180
dailymail_2074.txt,3749,1413
dailymail_2076.txt,11511,4605
dailymail_2078.txt,4645,2073
dailymail_208.txt,4532,2101
dailymail_2080.txt,10237,4169
dailymail_2082.txt,3587,1727
dailymail_2084.txt,12627,5636
dailymail_2086.txt,8296,3827
dailymail_2088.txt,4154,2028
dailymail_2090.txt,4763,2087
dailymail_2092.txt,4455,1867
