filename,original_size,compressed_size,compression_ratio
dailymail_1408.txt,7387,3722,0.49614187085420336
dailymail_1412.txt,5071,2198,0.5665549201340958
dailymail_1416.txt,5645,2599,0.5395925597874225
dailymail_1418.txt,8558,3904,0.5438186492171069
dailymail_142.txt,2273,1040,0.5424549054113507
dailymail_1420.txt,622,416,0.3311897106109325
dailymail_1422.txt,16228,6878,0.5761646536849889
dailymail_1424.txt,3145,1560,0.5039745627980923
dailymail_1428.txt,12110,5714,0.5281585466556564
dailymail_1430.txt,8996,3876,0.5691418408181415
dailymail_1432.txt,8996,3876,0.5691418408181415
dailymail_1434.txt,5078,1847,0.6362741236707365
dailymail_1436.txt,5078,1847,0.6362741236707365
dailymail_1438.txt,8108,3789,0.5326837691169215
dailymail_144.txt,1533,853,0.4435746901500326
dailymail_1440.txt,8108,3789,0.5326837691169215
dailymail_1442.txt,4920,2508,0.4902439024390244
dailymail_1446.txt,14214,6404,0.5494582805684536
dailymail_1448.txt,4685,2288,0.5116328708644611
dailymail_1450.txt,4685,2288,0.5116328708644611
dailymail_1452.txt,8341,3689,0.5577268912600408
dailymail_1456.txt,7429,3326,0.5522950599003904
dailymail_1458.txt,1150,653,0.4321739130434783
dailymail_146.txt,3344,1544,0.5382775119617225
dailymail_1460.txt,2729,1320,0.5163063393184317
dailymail_1464.txt,6958,3309,0.5244323081345215
dailymail_1466.txt,9112,4145,0.5451053555750658
dailymail_1468.txt,8803,3986,0.5471998182437805
dailymail_1470.txt,9289,4468,0.519000968887932
dailymail_1472.txt,8408,3821,0.5455518553758325
dailymail_1474.txt,7974,3615,0.5466516177577125
dailymail_1476.txt,7464,3325,0.5545284030010718
dailymail_1478.txt,7056,3388,0.5198412698412698
dailymail_148.txt,3658,1569,0.5710770913067249
dailymail_1480.txt,9096,3977,0.5627748460861917
dailymail_1482.txt,808,479,0.4071782178217822
dailymail_1484.txt,2464,1306,0.4699675324675324
dailymail_1486.txt,1761,927,0.47359454855195915
dailymail_1488.txt,1997,962,0.5182774161241863
dailymail_1490.txt,8016,3721,0.5358033932135728
dailymail_1492.txt,10184,4529,0.5552827965435978
dailymail_1494.txt,5339,2436,0.5437347817943435
dailymail_1496.txt,2904,1411,0.5141184573002755
dailymail_1498.txt,2943,1441,0.510363574583758
dailymail_150.txt,3083,1521,0.5066493674991891
dailymail_1500.txt,6553,3140,0.5208301541278804
dailymail_1502.txt,6087,2945,0.5161820272712339
dailymail_1504.txt,15402,6629,0.5696013504739644
dailymail_1506.txt,15402,6629,0.5696013504739644
dailymail_1508.txt,3382,1622,0.5204021289178001
dailymail_1510.txt,4424,2058,0.5348101265822784
dailymail_1512.txt,6099,2760,0.5474667978357108
dailymail_1514.txt,7037,3360,0.5225238027568566
dailymail_1516.txt,1671,890,0.4673847995212448
dailymail_1518.txt,536,360,0.32835820895522383
dailymail_152.txt,2380,1276,0.4638655462184874
dailymail_1520.txt,3081,1502,0.5124959428756897
dailymail_1522.txt,4291,2184,0.49102773246329523
dailymail_1524.txt,9409,4210,0.5525560633436072
dailymail_1526.txt,13905,6280,0.548363897878461
dailymail_1528.txt,672,428,0.36309523809523814
dailymail_1530.txt,5688,2747,0.5170534458509142
dailymail_1532.txt,4516,2263,0.49889282550930025
dailymail_1534.txt,3979,1935,0.513696908771048
dailymail_1536.txt,2347,1279,0.4550489987217725
dailymail_1538.txt,2443,1246,0.4899713467048711
dailymail_154.txt,1692,899,0.4686761229314421
dailymail_1540.txt,14047,6009,0.5722218267245676
dailymail_1542.txt,4257,1935,0.5454545454545454
dailymail_1544.txt,7192,3178,0.5581201334816464
dailymail_1546.txt,7192,3178,0.5581201334816464
dailymail_1548.txt,7655,3570,0.5336381450032659
dailymail_1550.txt,5683,2485,0.5627309519619919
dailymail_1552.txt,2695,1373,0.4905380333951762
dailymail_1554.txt,13417,5953,0.556309160020869
dailymail_1556.txt,13417,5953,0.556309160020869
dailymail_1558.txt,3122,1389,0.5550928891736067
dailymail_156.txt,2549,1307,0.4872499019223224
dailymail_1560.txt,7138,3332,0.5332025777528719
dailymail_1562.txt,4905,2221,0.5471967380224261
dailymail_1564.txt,6755,2994,0.5567727609178386
dailymail_1566.txt,6755,2994,0.5567727609178386
dailymail_1568.txt,5566,2536,0.5443765720445563
dailymail_1570.txt,7691,3335,0.5663762839682747
dailymail_1572.txt,6093,2950,0.5158378467093385
dailymail_1574.txt,4162,2038,0.5103315713599231
dailymail_1576.txt,3726,1648,0.5577026301663983
dailymail_1578.txt,5702,2638,0.5373553139249386
dailymail_158.txt,3163,1396,0.5586468542522921
dailymail_1580.txt,1594,858,0.46173149309912176
dailymail_1582.txt,7088,3103,0.5622178329571106
dailymail_1584.txt,5562,2745,0.506472491909385
dailymail_1586.txt,635,386,0.39212598425196854
dailymail_1588.txt,3929,1894,0.5179434970730465
dailymail_1590.txt,2626,1323,0.49619192688499614
dailymail_1592.txt,11033,4899,0.5559684582615789
dailymail_1594.txt,5007,2403,0.5200718993409227
dailymail_1596.txt,7293,3114,0.5730152200740436
dailymail_1598.txt,3976,2025,0.4906941649899397
dailymail_16.txt,4054,1843,0.545387271830291
dailymail_160.txt,3984,1830,0.5406626506024097
dailymail_1600.txt,4625,2318,0.4988108108108108
dailymail_1602.txt,9423,4311,0.542502387774594
dailymail_1604.txt,9423,4311,0.542502387774594
dailymail_1606.txt,3033,1521,0.49851632047477745
dailymail_1608.txt,5411,2525,0.5333579744963962
dailymail_1610.txt,4088,1970,0.5181017612524461
dailymail_1612.txt,4946,2275,0.5400323493732309
dailymail_1614.txt,4424,2068,0.5325497287522605
dailymail_1616.txt,4353,2064,0.5258442453480359
dailymail_1618.txt,5348,2491,0.5342183994016454
dailymail_162.txt,2352,1115,0.5259353741496599
dailymail_1620.txt,5141,2406,0.5319976658237697
dailymail_1624.txt,2501,1364,0.4546181527389045
dailymail_1626.txt,6973,3408,0.5112577083034562
dailymail_1628.txt,4705,2145,0.5441020191285866
dailymail_1630.txt,6157,2884,0.5315900600942017
