original_size,compressed_size,compression_ratio
10192,4708,0.5380690737833596
4857,2435,0.4986617253448631
5542,2703,0.5122699386503067
5952,2726,0.542002688172043
5628,2787,0.5047974413646055
5722,2694,0.529185599440755
4025,1996,0.5040993788819876
6734,3183,0.5273240273240274
4404,1969,0.5529064486830154
3087,1365,0.5578231292517006
7567,3425,0.54737676754328
589,385,0.3463497453310696
7130,2768,0.611781206171108
12239,5133,0.5806029904403955
7877,3924,0.5018408023359147
4812,1808,0.6242726517040731
3284,1696,0.4835566382460414
705,434,0.3843971631205674
2311,1179,0.4898312418866292
7098,3302,0.5347985347985348
3829,1433,0.6257508487855836
3455,1612,0.5334298118668597
4707,2191,0.5345230507754408
2299,1052,0.5424097433666812
13856,5040,0.6362586605080831
6375,3049,0.5217254901960784
6000,2790,0.5349999999999999
4532,2083,0.5403795233892321
5654,2480,0.5613724796604174
3104,1573,0.4932345360824742
12250,5294,0.5678367346938775
9255,3832,0.5859535386277688
3014,1354,0.5507631055076311
5221,2643,0.4937751388622869
11045,5218,0.5275690357627886
5477,2843,0.4809202117947782
3069,1509,0.5083088954056696
6204,2869,0.5375564152159897
5307,2238,0.5782928208027134
3951,1797,0.5451784358390281
651,405,0.3778801843317972
3250,1647,0.4932307692307692
12363,5139,0.5843241931570007
507,328,0.3530571992110454
8235,3625,0.5598057073466909
3945,1992,0.4950570342205322
718,445,0.3802228412256268
4191,1895,0.5478406108327368
3174,1516,0.5223692501575299
5685,2741,0.517854001759015
5712,2614,0.5423669467787116
4350,1722,0.6041379310344828
4516,2263,0.4988928255093002
4929,2496,0.4936092513694461
3501,1727,0.5067123678948872
732,482,0.3415300546448088
4326,2030,0.5307443365695793
7331,2631,0.6411130814350021
2789,1401,0.497669415561133
23217,10566,0.5449024421759917
3026,1487,0.5085922009253139
7099,3256,0.5413438512466544
7075,2915,0.5879858657243816
10677,4764,0.5538072492273111
4520,2009,0.5555309734513274
2342,1050,0.5516652433817251
2898,1421,0.5096618357487923
3619,1786,0.5064935064935066
3408,1727,0.4932511737089202
5020,2276,0.546613545816733
4431,2067,0.5335138794854435
3317,1530,0.5387398251432016
3129,1680,0.4630872483221476
3802,1835,0.5173592845870594
6801,2937,0.5681517423908249
2825,1337,0.5267256637168142
4450,1977,0.5557303370786517
3588,1704,0.5250836120401338
4437,2068,0.5339193148523778
5553,2683,0.516837745362867
13774,6205,0.54951357630318
5544,2720,0.5093795093795094
7308,2222,0.6959496442255063
2103,1052,0.4997622444127437
4573,2094,0.5420949048764487
3216,1463,0.5450870646766169
1095,608,0.4447488584474885
7367,3094,0.5800190036649926
8512,3865,0.5459351503759399
11950,5113,0.5721338912133891
2251,1112,0.505997334517992
5328,2598,0.5123873873873874
4243,2095,0.5062455809568701
5129,2487,0.5151101579255215
3897,2030,0.479086476777008
2007,1059,0.4723467862481315
4020,2118,0.4731343283582089
10352,4578,0.5577666151468315
3316,1652,0.5018094089264173
7328,3328,0.5458515283842795
5981,2799,0.5320180571810734
548,344,0.3722627737226277
3035,1496,0.5070840197693576
2336,1174,0.497431506849315
4801,2163,0.5494688606540303
6070,2766,0.5443163097199342
2563,1334,0.4795161919625439
5219,2520,0.5171488790956122
4822,2277,0.527789299046039
4617,2230,0.5170023824994585
4368,2069,0.5263278388278388
8368,3958,0.5270076481835564
11142,4499,0.5962125291689104
5407,2497,0.5381912335860921
2387,1214,0.4914118139924591
2610,1064,0.5923371647509579
542,365,0.3265682656826568
597,373,0.3752093802345059
4085,1891,0.5370869033047736
804,503,0.3743781094527363
6061,2965,0.5108067975581587
3770,1819,0.5175066312997347
17465,5387,0.691554537646722
548,365,0.333941605839416
1021,599,0.4133202742409402
30605,10789,0.6474759026302892
6403,2306,0.6398563173512416
10237,4150,0.5946077952525154
3697,1741,0.5290776305112252
7644,3619,0.5265567765567766
2812,1464,0.4793741109530584
520,341,0.3442307692307692
3225,1505,0.5333333333333333
908,551,0.3931718061674009
4451,2074,0.5340372949898899
1589,1003,0.368785399622404
1418,707,0.501410437235543
6113,2982,0.5121871421560609
3128,1574,0.4968030690537084
5108,2313,0.5471808927173062
5835,2723,0.5333333333333333
5016,2071,0.5871212121212122
5829,2754,0.5275347400926402
24327,9181,0.622600402844576
635,388,0.3889763779527558
802,503,0.3728179551122195
4062,1921,0.5270802560315115
10830,4793,0.5574330563250232
9102,4053,0.554713249835201
760,486,0.3605263157894737
6792,3210,0.5273851590106007
5206,2406,0.5378409527468306
552,373,0.3242753623188406
2779,1337,0.5188916876574308
7364,2681,0.6359315589353612
5566,2536,0.5443765720445563
8888,3947,0.5559180918091808
7982,3805,0.5233024304685543
3300,1593,0.5172727272727273
4048,1863,0.5397727272727273
1032,594,0.4244186046511627
4257,1935,0.5454545454545454
3580,1492,0.5832402234636871
3393,1691,0.5016209843796051
7178,3341,0.5345500139314572
4165,1991,0.5219687875150061
5361,2685,0.4991606043648573
6693,2968,0.5565516210966681
885,559,0.3683615819209039
665,420,0.368421052631579
4641,2283,0.5080801551389786
8996,3876,0.5691418408181415
9763,4310,0.5585373348356037
7919,3647,0.5394620532895568
731,474,0.3515731874145007
4576,2092,0.5428321678321678
6825,3229,0.5268864468864469
3347,1564,0.5327158649536898
9817,4116,0.5807273097687684
927,596,0.3570658036677454
4460,2090,0.531390134529148
2873,1510,0.4744169857292029
7447,3459,0.5355176581173626
1041,592,0.4313160422670509
6344,2993,0.5282156368221942
19060,7622,0.6001049317943337
4197,2152,0.4872527996187753
4041,1824,0.5486265775798069
973,545,0.4398766700924974
2698,1257,0.5340993328391401
1796,1002,0.4420935412026726
6066,3040,0.498846027035938
830,527,0.3650602409638555
6419,2642,0.5884094095653529
8906,3903,0.5617561194700202
2741,1335,0.5129514775629332
7197,3327,0.5377240516882034
3126,1573,0.4968010236724248
2865,1467,0.487958115183246
951,549,0.4227129337539432
4452,1893,0.5747978436657681
3496,1600,0.5423340961098397
5492,2045,0.6276402039329935
5775,2870,0.503030303030303
8973,4065,0.5469742561016382
5348,2459,0.5402019446522064
2876,1413,0.508692628650904
1033,550,0.4675701839303001
8905,3669,0.5879842784952274
3185,1478,0.535949764521193
10499,4794,0.5433850842937422
4079,1839,0.5491542044618779
3984,1830,0.5406626506024097
3118,1455,0.5333547145606158
4590,1908,0.584313725490196
949,494,0.4794520547945206
5844,2349,0.5980492813141685
6977,2825,0.5950981797334098
5761,2536,0.5597986460683909
787,494,0.3722998729351969
4279,1617,0.6221079691516709
